Organism_Name	Temperature_Range
Hoyosella subflava DQS3-9A1	Mesophile
Kitasatospora setae KM-6054	Mesophile
Streptomyces cattleya NRRL 8057 = DSM 46488	Mesophile
Gordonia polyisoprenivorans VH2	Mesophile
Nocardia cyriacigeorgica GUH-2	Mesophile
Frankia casuarinae	Mesophile
Frankia inefficax	Mesophile
Deinococcus deserti VCD115	Mesophile
Syntrophobotulus glycolicus DSM 8271	Mesophile
Leuconostoc kimchii IMSNU 11154	Mesophile
Desulfosporosinus meridiei DSM 13257	Mesophile
Pediococcus claussenii ATCC BAA-344	Mesophile
Echinicola vietnamensis DSM 17526	Mesophile
Paraburkholderia xenovorans LB400	Mesophile
Nitrosospira multiformis ATCC 25196	Mesophile
Burkholderia lata	Mesophile
Edwardsiella ictaluri 93-146	Mesophile
Erwinia billingiae Eb661	Mesophile
Frateuria aurantia DSM 6220	Mesophile
Rhodanobacter denitrificans	Mesophile
Deinococcus gobiensis I-0	Mesophile
Oceanobacillus iheyensis HTE831	Mesophile
Acidobacterium capsulatum ATCC 51196	Mesophile
Elusimicrobium minutum Pei191	Mesophile
Cytophaga hutchinsonii ATCC 33406	Mesophile
Robiginitalea biformata HTCC2501	Mesophile
Leadbetterella byssophila DSM 17132	Mesophile
Paludibacter propionicigenes WB4	Mesophile
Dyadobacter fermentans DSM 18053	Mesophile
Gemmatimonas aurantiaca T-27	Mesophile
Ilyobacter polytropus DSM 2926	Mesophile
Methylobacterium radiotolerans JCM 2831	Mesophile
Gluconacetobacter diazotrophicus PA1 5	Mesophile
Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821	Mesophile
Novosphingobium aromaticivorans DSM 12444	Mesophile
Ruegeria pomeroyi DSS-3	Mesophile
Rhodobacter capsulatus SB 1003	Mesophile
Sphingomonas wittichii RW1	Mesophile
Parvibaculum lavamentivorans DS-1	Mesophile
Azorhizobium caulinodans ORS 571	Mesophile
Phenylobacterium zucineum HLK1	Mesophile
Parvularcula bermudensis HTCC2503	Mesophile
Asticcacaulis excentricus CB 48	Mesophile
Hirschia baltica ATCC 49814	Mesophile
Brevundimonas subvibrioides ATCC 15264	Mesophile
Starkeya novella DSM 506	Mesophile
Methylobacillus flagellatus KT	Mesophile
Ramlibacter tataouinensis TTB310	Mesophile
Paraburkholderia phytofirmans PsJN	Mesophile
Methylotenera mobilis JLW8	Mesophile
Geobacter metallireducens GS-15	Mesophile
Myxococcus xanthus DK 1622	Mesophile
Pelobacter carbinolicus DSM 2380	Mesophile
Pelobacter propionicus DSM 2379	Mesophile
Desulfovibrio magneticus RS-1	Mesophile
Geobacter bemidjiensis Bem	Mesophile
Sorangium cellulosum So ce56	Mesophile
Maridesulfovibrio salexigens DSM 2638	Mesophile
Desulfurivibrio alkaliphilus AHT 2	Mesophile
Pseudodesulfovibrio aespoeensis Aspo-2	Mesophile
Haliangium ochraceum DSM 14365	Mesophile
Sulfurospirillum deleyianum DSM 6946	Mesophile
Desulfomicrobium baculatum DSM 4028	Mesophile
Corallococcus coralloides DSM 2259	Mesophile
Sulfurospirillum barnesii SES-3	Mesophile
Yersinia pestis A1122	Mesophile
Nitrosococcus oceani ATCC 19707	Mesophile
Vibrio parahaemolyticus RIMD 2210633	Mesophile
Chromohalobacter salexigens DSM 3043	Mesophile
Azotobacter vinelandii DJ	Mesophile
Shewanella oneidensis MR-1	Mesophile
Citrobacter koseri ATCC BAA-895	Mesophile
Alkalilimnicola ehrlichii MLHE-1	Mesophile
Pseudomonas entomophila L48	Mesophile
Idiomarina loihiensis L2TR	Mesophile
Alcanivorax borkumensis SK2	Mesophile
Pantoea ananatis PA13	Mesophile
Halomonas elongata DSM 2581	Mesophile
Kangiella koreensis DSM 16069	Mesophile
Thiomicrospira aerophila AL3	Mesophile
Pseudoxanthomonas spadix BD-a59	Mesophile
Thioalkalivibrio paradoxus ARh 1	Mesophile
Acinetobacter baylyi ADP1	Mesophile
